Text,Language
எனக்கு நீங்கள்?,Tamil
நான் அந்த,Tamil
அந்த நான்!,Tamil
அங்கு நீங்கள்!,Tamil
என்ன நீங்கள்!,Tamil
நான் அங்கு!,Tamil
அவனுக்கு நான்!,Tamil
நீங்கள் போய்!,Tamil
தமிழ்நாடு?,Tamil
ஒரு இது தமிழ் செய்தி!,Tamil
நன்றி!,Tamil
வணக்கம்,Tamil
மொழி தமிழ்!,Tamil
தமிழ் பாடம் இந்த ஒரு?,Tamil
நீங்கள் எப்படி இருக்கிறீர்கள்?,Tamil
ஒரு பரிசோதனை இது?,Tamil
நான் நன்றாக இருக்கிறேன்!,Tamil
கருத்து என் இது!,Tamil
ஏன் நாம்!,Tamil
காதலிக்கிறேன் நான்,Tamil
ஏனெனில் நான்?,Tamil
மகிழ்ச்சியாக நான் இருக்கிறேன்?,Tamil
படியுங்கள் இதைப் நீங்கள்!,Tamil
இது என் இதயம்?,Tamil
உங்களுக்கு நான்!,Tamil
இந்த புத்தகம்?,Tamil
நீங்கள் என்ன செய்கிறீர்கள்!,Tamil
உங்களுக்காக நான் எழுதினேன்!,Tamil
என் வீட்டின்,Tamil
நான் சொன்னேன்?,Tamil
என் நண்பர் அவன்?,Tamil
போகவில்லை நான்,Tamil
நீங்கள் நான்!,Tamil
உன்னை நான்?,Tamil
அது எனக்கு?,Tamil
நான் எனக்கு,Tamil
இந்த புத்தகங்கள்!,Tamil
எழுதியது நான்,Tamil
உங்களுக்காக!,Tamil
நான் கேட்கிறேன்,Tamil
நான் அவனுக்காக!,Tamil
நீங்கள் அந்த?,Tamil
நான் சொல்லும்!,Tamil
நான் போய்,Tamil
நான் என்று நீங்கள்,Tamil
பற்றி நீங்கள் இதை?,Tamil
நான் சொன்னது,Tamil
அவன் அவனை,Tamil
செய்தேன் நான்!,Tamil
நீங்கள் என்னை!,Tamil
நீங்கள் எனக்கு,Tamil
அந்த நான்!,Tamil
அந்த நான்,Tamil
அங்கு நீங்கள்,Tamil
என்ன நீங்கள்,Tamil
நான் அங்கு?,Tamil
அவனுக்கு நான்,Tamil
போய் நீங்கள்,Tamil
தமிழ்நாடு,Tamil
தமிழ் ஒரு செய்தி இது!,Tamil
நன்றி!,Tamil
வணக்கம்,Tamil
மொழி தமிழ்!,Tamil
தமிழ் பாடம் இந்த ஒரு,Tamil
எப்படி நீங்கள் இருக்கிறீர்கள்?,Tamil
இது ஒரு பரிசோதனை?,Tamil
நன்றாக இருக்கிறேன் நான்,Tamil
என் இது கருத்து,Tamil
ஏன் நாம்,Tamil
நான் காதலிக்கிறேன்,Tamil
ஏனெனில் நான்,Tamil
நான் இருக்கிறேன் மகிழ்ச்சியாக!,Tamil
படியுங்கள் இதைப் நீங்கள்?,Tamil
இது என் இதயம்!,Tamil
உங்களுக்கு நான்?,Tamil
இந்த புத்தகம்?,Tamil
என்ன நீங்கள் செய்கிறீர்கள்?,Tamil
உங்களுக்காக எழுதினேன் நான்,Tamil
வீட்டின் என்,Tamil
சொன்னேன் நான்?,Tamil
நண்பர் அவன் என்!,Tamil
நான் போகவில்லை?,Tamil
நீங்கள் நான்,Tamil
நான் உன்னை!,Tamil
அது எனக்கு,Tamil
எனக்கு நான்,Tamil
புத்தகங்கள் இந்த,Tamil
நான் எழுதியது?,Tamil
உங்களுக்காக,Tamil
நான் கேட்கிறேன்!,Tamil
அவனுக்காக நான்,Tamil
அந்த நீங்கள்?,Tamil
சொல்லும் நான்,Tamil
நான் போய்,Tamil
என்று நீங்கள் நான்!,Tamil
நீங்கள் பற்றி இதை!,Tamil
சொன்னது நான்,Tamil
அவனை அவன்,Tamil
செய்தேன் நான்!,Tamil
என்னை நீங்கள்!,Tamil
எனக்கு நீங்கள்?,Tamil
அந்த நான்,Tamil
அந்த நான்!,Tamil
அங்கு நீங்கள்,Tamil
நீங்கள் என்ன!,Tamil
அங்கு நான்?,Tamil
அவனுக்கு நான்!,Tamil
போய் நீங்கள்?,Tamil
தமிழ்நாடு,Tamil
இது செய்தி தமிழ் ஒரு,Tamil
நன்றி!,Tamil
வணக்கம்!,Tamil
மொழி தமிழ்,Tamil
தமிழ் ஒரு பாடம் இந்த?,Tamil
இருக்கிறீர்கள் எப்படி நீங்கள்!,Tamil
ஒரு இது பரிசோதனை?,Tamil
நான் நன்றாக இருக்கிறேன்,Tamil
என் இது கருத்து!,Tamil
ஏன் நாம்!,Tamil
நான் காதலிக்கிறேன்?,Tamil
நான் ஏனெனில்?,Tamil
மகிழ்ச்சியாக நான் இருக்கிறேன்,Tamil
இதைப் படியுங்கள் நீங்கள்!,Tamil
இதயம் என் இது?,Tamil
நான் உங்களுக்கு?,Tamil
புத்தகம் இந்த!,Tamil
நீங்கள் என்ன செய்கிறீர்கள்,Tamil
நான் எழுதினேன் உங்களுக்காக,Tamil
வீட்டின் என்!,Tamil
சொன்னேன் நான்?,Tamil
அவன் என் நண்பர்!,Tamil
போகவில்லை நான்!,Tamil
நீங்கள் நான்!,Tamil
உன்னை நான்!,Tamil
எனக்கு அது,Tamil
நான் எனக்கு?,Tamil
இந்த புத்தகங்கள்,Tamil
நான் எழுதியது!,Tamil
உங்களுக்காக,Tamil
நான் கேட்கிறேன்!,Tamil
அவனுக்காக நான்,Tamil
அந்த நீங்கள்!,Tamil
நான் சொல்லும்?,Tamil
நான் போய்,Tamil
என்று நான் நீங்கள்,Tamil
இதை பற்றி நீங்கள்?,Tamil
சொன்னது நான்!,Tamil
அவனை அவன்!,Tamil
செய்தேன் நான்!,Tamil
என்னை நீங்கள்?,Tamil
நீங்கள் எனக்கு,Tamil
நான் அந்த?,Tamil
அந்த நான்!,Tamil
நீங்கள் அங்கு!,Tamil
என்ன நீங்கள்,Tamil
நான் அங்கு,Tamil
அவனுக்கு நான்?,Tamil
போய் நீங்கள்?,Tamil
தமிழ்நாடு!,Tamil
ஒரு செய்தி இது தமிழ்!,Tamil
நன்றி!,Tamil
வணக்கம்?,Tamil
தமிழ் மொழி!,Tamil
ஒரு இந்த தமிழ் பாடம்,Tamil
இருக்கிறீர்கள் எப்படி நீங்கள்,Tamil
பரிசோதனை ஒரு இது?,Tamil
இருக்கிறேன் நன்றாக நான்?,Tamil
என் கருத்து இது!,Tamil
நாம் ஏன்,Tamil
காதலிக்கிறேன் நான்!,Tamil
ஏனெனில் நான்,Tamil
இருக்கிறேன் நான் மகிழ்ச்சியாக!,Tamil
படியுங்கள் இதைப் நீங்கள்,Tamil
இதயம் இது என்,Tamil
நான் உங்களுக்கு?,Tamil
புத்தகம் இந்த,Tamil
என்ன செய்கிறீர்கள் நீங்கள்,Tamil
எழுதினேன் நான் உங்களுக்காக!,Tamil
வீட்டின் என்?,Tamil
நான் சொன்னேன்?,Tamil
என் நண்பர் அவன்!,Tamil
போகவில்லை நான்?,Tamil
நீங்கள் நான்,Tamil
நான் உன்னை,Tamil
அது எனக்கு!,Tamil
எனக்கு நான்,Tamil
இந்த புத்தகங்கள்,Tamil
எழுதியது நான்,Tamil
உங்களுக்காக?,Tamil
கேட்கிறேன் நான்!,Tamil
அவனுக்காக நான்!,Tamil
அந்த நீங்கள்?,Tamil
நான் சொல்லும்!,Tamil
போய் நான்?,Tamil
நீங்கள் நான் என்று!,Tamil
பற்றி இதை நீங்கள்?,Tamil
சொன்னது நான்,Tamil
அவன் அவனை,Tamil
செய்தேன் நான்,Tamil
என்னை நீங்கள்?,Tamil
எனக்கு நீங்கள்?,Tamil
நான் அந்த?,Tamil
அந்த நான்!,Tamil
அங்கு நீங்கள்!,Tamil
என்ன நீங்கள்?,Tamil
அங்கு நான்?,Tamil
நான் அவனுக்கு,Tamil
நீங்கள் போய்!,Tamil
தமிழ்நாடு!,Tamil
ஒரு இது செய்தி தமிழ்!,Tamil
நன்றி,Tamil
வணக்கம்?,Tamil
தமிழ் மொழி,Tamil
இந்த பாடம் ஒரு தமிழ்?,Tamil
இருக்கிறீர்கள் நீங்கள் எப்படி,Tamil
ஒரு இது பரிசோதனை?,Tamil
நன்றாக இருக்கிறேன் நான்,Tamil
இது கருத்து என்?,Tamil
ஏன் நாம்?,Tamil
நான் காதலிக்கிறேன்!,Tamil
நான் ஏனெனில்,Tamil
நான் மகிழ்ச்சியாக இருக்கிறேன்?,Tamil
இதைப் நீங்கள் படியுங்கள்!,Tamil
இதயம் இது என்?,Tamil
நான் உங்களுக்கு,Tamil
புத்தகம் இந்த!,Tamil
நீங்கள் என்ன செய்கிறீர்கள்,Tamil
எழுதினேன் உங்களுக்காக நான்?,Tamil
என் வீட்டின்!,Tamil
சொன்னேன் நான்,Tamil
என் அவன் நண்பர்?,Tamil
போகவில்லை நான்,Tamil
நான் நீங்கள்,Tamil
உன்னை நான்?,Tamil
அது எனக்கு!,Tamil
எனக்கு நான்,Tamil
இந்த புத்தகங்கள்?,Tamil
எழுதியது நான்,Tamil
உங்களுக்காக,Tamil
நான் கேட்கிறேன்!,Tamil
நான் அவனுக்காக,Tamil
அந்த நீங்கள்!,Tamil
சொல்லும் நான்?,Tamil
போய் நான்,Tamil
என்று நீங்கள் நான்!,Tamil
பற்றி இதை நீங்கள்?,Tamil
சொன்னது நான்?,Tamil
அவன் அவனை,Tamil
செய்தேன் நான்?,Tamil
நீங்கள் என்னை?,Tamil
எனக்கு நீங்கள்!,Tamil
நான் அந்த,Tamil
அந்த நான்!,Tamil
நீங்கள் அங்கு!,Tamil
என்ன நீங்கள்!,Tamil
நான் அங்கு,Tamil
நான் அவனுக்கு,Tamil
நீங்கள் போய்,Tamil
தமிழ்நாடு,Tamil
ஒரு செய்தி தமிழ் இது,Tamil
நன்றி!,Tamil
வணக்கம்,Tamil
மொழி தமிழ்!,Tamil
ஒரு தமிழ் பாடம் இந்த,Tamil
நீங்கள் எப்படி இருக்கிறீர்கள்!,Tamil
இது ஒரு பரிசோதனை?,Tamil
இருக்கிறேன் நன்றாக நான்,Tamil
இது கருத்து என்!,Tamil
ஏன் நாம்,Tamil
நான் காதலிக்கிறேன்!,Tamil
நான் ஏனெனில்,Tamil
நான் மகிழ்ச்சியாக இருக்கிறேன்?,Tamil
படியுங்கள் நீங்கள் இதைப்!,Tamil
இது இதயம் என்,Tamil
உங்களுக்கு நான்?,Tamil
இந்த புத்தகம்,Tamil
என்ன நீங்கள் செய்கிறீர்கள்,Tamil
எழுதினேன் உங்களுக்காக நான்?,Tamil
வீட்டின் என்,Tamil
நான் சொன்னேன்?,Tamil
என் நண்பர் அவன்!,Tamil
போகவில்லை நான்!,Tamil
நான் நீங்கள்!,Tamil
நான் உன்னை?,Tamil
எனக்கு அது!,Tamil
எனக்கு நான்!,Tamil
இந்த புத்தகங்கள்,Tamil
எழுதியது நான்,Tamil
உங்களுக்காக!,Tamil
நான் கேட்கிறேன்!,Tamil
நான் அவனுக்காக,Tamil
அந்த நீங்கள்,Tamil
சொல்லும் நான்!,Tamil
போய் நான்!,Tamil
என்று நான் நீங்கள்?,Tamil
இதை நீங்கள் பற்றி,Tamil
சொன்னது நான்?,Tamil
அவனை அவன்?,Tamil
நான் செய்தேன்?,Tamil
என்னை நீங்கள்?,Tamil
நீங்கள் எனக்கு,Tamil
நான் அந்த!,Tamil
அந்த நான்,Tamil
அங்கு நீங்கள்?,Tamil
நீங்கள் என்ன!,Tamil
நான் அங்கு!,Tamil
அவனுக்கு நான்?,Tamil
நீங்கள் போய்!,Tamil
தமிழ்நாடு!,Tamil
தமிழ் இது செய்தி ஒரு,Tamil
நன்றி?,Tamil
வணக்கம்,Tamil
தமிழ் மொழி?,Tamil
பாடம் ஒரு இந்த தமிழ்?,Tamil
எப்படி நீங்கள் இருக்கிறீர்கள்!,Tamil
இது பரிசோதனை ஒரு!,Tamil
இருக்கிறேன் நன்றாக நான்?,Tamil
கருத்து என் இது?,Tamil
ஏன் நாம்,Tamil
நான் காதலிக்கிறேன்?,Tamil
ஏனெனில் நான்!,Tamil
மகிழ்ச்சியாக இருக்கிறேன் நான்,Tamil
நீங்கள் படியுங்கள் இதைப்!,Tamil
இது என் இதயம்!,Tamil
உங்களுக்கு நான்?,Tamil
புத்தகம் இந்த!,Tamil
நீங்கள் என்ன செய்கிறீர்கள்?,Tamil
நான் உங்களுக்காக எழுதினேன்!,Tamil
வீட்டின் என்,Tamil
சொன்னேன் நான்?,Tamil
அவன் என் நண்பர்!,Tamil
போகவில்லை நான்?,Tamil
நான் நீங்கள்?,Tamil
உன்னை நான்,Tamil
எனக்கு அது!,Tamil
நான் எனக்கு?,Tamil
இந்த புத்தகங்கள்?,Tamil
எழுதியது நான்,Tamil
உங்களுக்காக?,Tamil
கேட்கிறேன் நான்?,Tamil
நான் அவனுக்காக?,Tamil
அந்த நீங்கள்?,Tamil
சொல்லும் நான்,Tamil
நான் போய்?,Tamil
நான் நீங்கள் என்று?,Tamil
பற்றி இதை நீங்கள்!,Tamil
சொன்னது நான்!,Tamil
அவன் அவனை!,Tamil
நான் செய்தேன்!,Tamil
நீங்கள் என்னை!,Tamil
நீங்கள் எனக்கு,Tamil
அந்த நான்!,Tamil
அந்த நான்,Tamil
நீங்கள் அங்கு,Tamil
என்ன நீங்கள்,Tamil
நான் அங்கு?,Tamil
அவனுக்கு நான்!,Tamil
நீங்கள் போய்,Tamil
தமிழ்நாடு?,Tamil
இது செய்தி தமிழ் ஒரு!,Tamil
நன்றி!,Tamil
வணக்கம்,Tamil
மொழி தமிழ்?,Tamil
ஒரு இந்த பாடம் தமிழ்!,Tamil
இருக்கிறீர்கள் எப்படி நீங்கள்?,Tamil
இது ஒரு பரிசோதனை,Tamil
நன்றாக நான் இருக்கிறேன்,Tamil
கருத்து இது என்?,Tamil
ஏன் நாம்,Tamil
நான் காதலிக்கிறேன்?,Tamil
நான் ஏனெனில்,Tamil
நான் இருக்கிறேன் மகிழ்ச்சியாக!,Tamil
நீங்கள் படியுங்கள் இதைப்,Tamil
இது என் இதயம்!,Tamil
நான் உங்களுக்கு!,Tamil
இந்த புத்தகம்,Tamil
நீங்கள் என்ன செய்கிறீர்கள்,Tamil
உங்களுக்காக எழுதினேன் நான்?,Tamil
என் வீட்டின்,Tamil
சொன்னேன் நான்,Tamil
நண்பர் அவன் என்!,Tamil
நான் போகவில்லை,Tamil
நான் நீங்கள்?,Tamil
உன்னை நான்!,Tamil
எனக்கு அது,Tamil
நான் எனக்கு?,Tamil
இந்த புத்தகங்கள்?,Tamil
எழுதியது நான்!,Tamil
உங்களுக்காக?,Tamil
கேட்கிறேன் நான்?,Tamil
நான் அவனுக்காக!,Tamil
நீங்கள் அந்த,Tamil
சொல்லும் நான்?,Tamil
நான் போய்?,Tamil
நான் நீங்கள் என்று,Tamil
நீங்கள் இதை பற்றி!,Tamil
நான் சொன்னது!,Tamil
அவன் அவனை?,Tamil
செய்தேன் நான்?,Tamil
நீங்கள் என்னை?,Tamil
எனக்கு நீங்கள்!,Tamil
நான் அந்த?,Tamil
நான் அந்த!,Tamil
அங்கு நீங்கள்!,Tamil
நீங்கள் என்ன?,Tamil
அங்கு நான்?,Tamil
அவனுக்கு நான்,Tamil
நீங்கள் போய்?,Tamil
தமிழ்நாடு!,Tamil
தமிழ் ஒரு செய்தி இது,Tamil
நன்றி?,Tamil
வணக்கம்!,Tamil
தமிழ் மொழி,Tamil
தமிழ் பாடம் ஒரு இந்த!,Tamil
நீங்கள் இருக்கிறீர்கள் எப்படி!,Tamil
ஒரு பரிசோதனை இது,Tamil
இருக்கிறேன் நான் நன்றாக,Tamil
என் இது கருத்து,Tamil
ஏன் நாம்,Tamil
நான் காதலிக்கிறேன்,Tamil
நான் ஏனெனில்!,Tamil
இருக்கிறேன் மகிழ்ச்சியாக நான்!,Tamil
நீங்கள் படியுங்கள் இதைப்?,Tamil
என் இது இதயம்?,Tamil
நான் உங்களுக்கு!,Tamil
இந்த புத்தகம்?,Tamil
நீங்கள் செய்கிறீர்கள் என்ன,Tamil
நான் உங்களுக்காக எழுதினேன்,Tamil
என் வீட்டின்?,Tamil
நான் சொன்னேன்,Tamil
நண்பர் என் அவன்?,Tamil
போகவில்லை நான்!,Tamil
நான் நீங்கள்,Tamil
நான் உன்னை,Tamil
அது எனக்கு!,Tamil
நான் எனக்கு?,Tamil
இந்த புத்தகங்கள்!,Tamil
நான் எழுதியது!,Tamil
உங்களுக்காக!,Tamil
கேட்கிறேன் நான்,Tamil
அவனுக்காக நான்?,Tamil
நீங்கள் அந்த?,Tamil
நான் சொல்லும்!,Tamil
நான் போய்,Tamil
நீங்கள் நான் என்று,Tamil
பற்றி இதை நீங்கள்!,Tamil
நான் சொன்னது!,Tamil
அவன் அவனை,Tamil
செய்தேன் நான்!,Tamil
நீங்கள் என்னை!,Tamil
நீங்கள் எனக்கு,Tamil
அந்த நான்!,Tamil
நான் அந்த!,Tamil
அங்கு நீங்கள்,Tamil
என்ன நீங்கள்,Tamil
நான் அங்கு?,Tamil
அவனுக்கு நான்!,Tamil
நீங்கள் போய்?,Tamil
தமிழ்நாடு?,Tamil
இது தமிழ் ஒரு செய்தி,Tamil
நன்றி!,Tamil
வணக்கம்,Tamil
தமிழ் மொழி,Tamil
ஒரு இந்த தமிழ் பாடம்!,Tamil
நீங்கள் எப்படி இருக்கிறீர்கள்?,Tamil
இது ஒரு பரிசோதனை!,Tamil
நன்றாக நான் இருக்கிறேன்,Tamil
இது என் கருத்து!,Tamil
நாம் ஏன்!,Tamil
காதலிக்கிறேன் நான்,Tamil
நான் ஏனெனில்!,Tamil
இருக்கிறேன் மகிழ்ச்சியாக நான்?,Tamil
இதைப் படியுங்கள் நீங்கள்,Tamil
இது இதயம் என்!,Tamil
உங்களுக்கு நான்!,Tamil
இந்த புத்தகம்?,Tamil
செய்கிறீர்கள் நீங்கள் என்ன,Tamil
எழுதினேன் உங்களுக்காக நான்,Tamil
என் வீட்டின்?,Tamil
சொன்னேன் நான்!,Tamil
என் அவன் நண்பர்!,Tamil
போகவில்லை நான்,Tamil
நான் நீங்கள்?,Tamil
நான் உன்னை?,Tamil
அது எனக்கு!,Tamil
நான் எனக்கு,Tamil
இந்த புத்தகங்கள்,Tamil
நான் எழுதியது!,Tamil
உங்களுக்காக!,Tamil
நான் கேட்கிறேன்?,Tamil
நான் அவனுக்காக,Tamil
நீங்கள் அந்த!,Tamil
சொல்லும் நான்?,Tamil
நான் போய்?,Tamil
நீங்கள் நான் என்று!,Tamil
இதை நீங்கள் பற்றி!,Tamil
நான் சொன்னது?,Tamil
அவனை அவன்?,Tamil
செய்தேன் நான்?,Tamil
நீங்கள் என்னை!,Tamil
எனக்கு நீங்கள்!,Tamil
நான் அந்த?,Tamil
அந்த நான்!,Tamil
நீங்கள் அங்கு!,Tamil
என்ன நீங்கள்?,Tamil
அங்கு நான்!,Tamil
அவனுக்கு நான்?,Tamil
